Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transactions,Chrome 68.0.3440.106,,2018-09-07 14:07:32,2018-09-07 14:08:09,36.868s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/ClickOnTransactionsandValidate,Chrome 68.0.3440.106,,2018-09-07 14:07:33,2018-09-07 14:07:41,7.818s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-07 14:07:33,2018-09-07 14:07:34,1.311s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-07 14:07:34,2018-09-07 14:07:37,2.480s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-07 14:07:37,2018-09-07 14:07:37,0.195s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-07 14:07:37,2018-09-07 14:07:37,0.124s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 14:07:37,2018-09-07 14:07:37,0.197s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-07 14:07:37,2018-09-07 14:07:40,2.975s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-07 14:07:40,2018-09-07 14:07:40,0.018s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 14:07:40,2018-09-07 14:07:40,0.177s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 14:07:40,2018-09-07 14:07:40,0.080s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 14:07:40,2018-09-07 14:07:40,0.023s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-07 14:07:40,2018-09-07 14:07:41,0.090s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyApprovalCodeinTransactionSummary,Chrome 68.0.3440.106,,2018-09-07 14:07:41,2018-09-07 14:07:51,10.355s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-07 14:07:41,2018-09-07 14:07:41,0.637s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-07 14:07:41,2018-09-07 14:07:45,3.474s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-07 14:07:45,2018-09-07 14:07:45,0.502s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-07 14:07:45,2018-09-07 14:07:45,0.146s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 14:07:45,2018-09-07 14:07:46,0.328s,PASSED
