Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transactions,Chrome 68.0.3440.106,,2018-09-17 10:55:10,2018-09-17 11:11:15,16m - 4.950s,ERROR
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/ClickOnTransactionsandValidate,Chrome 68.0.3440.106,,2018-09-17 10:55:10,2018-09-17 10:55:21,10.352s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 10:55:10,2018-09-17 10:55:12,1.915s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 10:55:12,2018-09-17 10:55:13,0.246s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 10:55:13,2018-09-17 10:55:14,1.696s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 10:55:14,2018-09-17 10:55:14,0.054s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:55:14,2018-09-17 10:55:14,0.206s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 10:55:14,2018-09-17 10:55:15,0.107s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:55:15,2018-09-17 10:55:15,0.213s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-17 10:55:15,2018-09-17 10:55:20,5.354s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 10:55:20,2018-09-17 10:55:20,0.012s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:55:20,2018-09-17 10:55:20,0.162s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 10:55:20,2018-09-17 10:55:20,0.076s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 10:55:20,2018-09-17 10:55:20,0.019s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-17 10:55:20,2018-09-17 10:55:21,0.097s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyApprovalCodeinTransactionSummary,Chrome 68.0.3440.106,,2018-09-17 10:55:21,2018-09-17 10:55:32,10.999s,PASSED
