Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transactions,Chrome 68.0.3440.106,,2018-09-13 15:36:51,2018-09-13 15:39:33,2m - 41.117s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/ClickOnTransactionsandValidate,Chrome 68.0.3440.106,,2018-09-13 15:36:52,2018-09-13 15:37:01,9.758s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-13 15:36:52,2018-09-13 15:36:53,1.471s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-13 15:36:53,2018-09-13 15:36:54,0.230s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-13 15:36:54,2018-09-13 15:36:56,2.237s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-13 15:36:56,2018-09-13 15:36:56,0.212s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-13 15:36:56,2018-09-13 15:36:56,0.125s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 15:36:56,2018-09-13 15:36:56,0.195s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-13 15:36:56,2018-09-13 15:37:01,4.719s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-13 15:37:01,2018-09-13 15:37:01,0.026s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 15:37:01,2018-09-13 15:37:01,0.172s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 15:37:01,2018-09-13 15:37:01,0.078s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-13 15:37:01,2018-09-13 15:37:01,0.020s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-13 15:37:01,2018-09-13 15:37:01,0.090s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyApprovalCodeinTransactionSummary,Chrome 68.0.3440.106,,2018-09-13 15:37:01,2018-09-13 15:37:10,8.504s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-13 15:37:02,2018-09-13 15:37:02,0.612s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-13 15:37:02,2018-09-13 15:37:02,0.218s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-13 15:37:02,2018-09-13 15:37:04,1.548s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-13 15:37:04,2018-09-13 15:37:04,0.194s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-13 15:37:04,2018-09-13 15:37:04,0.081s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 15:37:04,2018-09-13 15:37:04,0.194s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-13 15:37:04,2018-09-13 15:37:08,3.907s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-13 15:37:08,2018-09-13 15:37:08,0.010s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 15:37:08,2018-09-13 15:37:08,0.147s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 15:37:08,2018-09-13 15:37:08,0.082s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-13 15:37:08,2018-09-13 15:37:09,0.011s,PASSED
click,Chrome 68.0.3440.106,,2018-09-13 15:37:09,2018-09-13 15:37:10,1.163s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-13 15:37:10,2018-09-13 15:37:10,0.030s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-13 15:37:10,2018-09-13 15:37:10,0.016s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-13 15:37:10,2018-09-13 15:37:10,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-13 15:37:10,2018-09-13 15:37:10,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-13 15:37:10,2018-09-13 15:37:10,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-13 15:37:10,2018-09-13 15:37:10,0.010s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-13 15:37:10,2018-09-13 15:37:10,0.018s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-13 15:37:10,2018-09-13 15:37:10,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-13 15:37:10,2018-09-13 15:37:10,0.014s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-13 15:37:10,2018-09-13 15:37:10,0.079s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyColumnFilter,Chrome 68.0.3440.106,,2018-09-13 15:37:10,2018-09-13 15:37:17,7.554s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-13 15:37:10,2018-09-13 15:37:11,0.745s,PASSED
