Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transactions,Chrome 68.0.3440.106,,2018-09-18 16:37:37,2018-09-18 16:41:27,3m - 50.278s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/ClickOnTransactionsandValidate,Chrome 68.0.3440.106,,2018-09-18 16:37:37,2018-09-18 16:37:46,8.379s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 16:37:37,2018-09-18 16:37:39,1.370s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 16:37:39,2018-09-18 16:37:39,0.230s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 16:37:39,2018-09-18 16:37:41,2.138s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 16:37:41,2018-09-18 16:37:41,0.047s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 16:37:41,2018-09-18 16:37:41,0.242s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 16:37:41,2018-09-18 16:37:42,0.094s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 16:37:42,2018-09-18 16:37:42,0.202s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-18 16:37:42,2018-09-18 16:37:45,3.484s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 16:37:45,2018-09-18 16:37:45,0.011s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 16:37:45,2018-09-18 16:37:45,0.141s,PASSED
click,Chrome 68.0.3440.106,,2018-09-18 16:37:45,2018-09-18 16:37:46,0.112s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-18 16:37:46,2018-09-18 16:37:46,0.018s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-18 16:37:46,2018-09-18 16:37:46,0.093s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyApprovalCodeinTransactionSummary,Chrome 68.0.3440.106,,2018-09-18 16:37:46,2018-09-18 16:37:54,8.424s,PASSED
