Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transactions,Chrome 68.0.3440.106,,2018-09-12 13:45:04,2018-09-12 13:46:24,1m - 19.614s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/ClickOnTransactionsandValidate,Chrome 68.0.3440.106,,2018-09-12 13:45:04,2018-09-12 13:45:12,7.680s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 13:45:05,2018-09-12 13:45:06,1.470s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-12 13:45:06,2018-09-12 13:45:06,0.233s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 13:45:06,2018-09-12 13:45:08,1.322s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 13:45:08,2018-09-12 13:45:08,0.240s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-12 13:45:08,2018-09-12 13:45:08,0.129s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:45:08,2018-09-12 13:45:08,0.201s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-12 13:45:08,2018-09-12 13:45:12,3.516s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:45:12,2018-09-12 13:45:12,0.020s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:45:12,2018-09-12 13:45:12,0.153s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:45:12,2018-09-12 13:45:12,0.085s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:45:12,2018-09-12 13:45:12,0.022s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-12 13:45:12,2018-09-12 13:45:12,0.093s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyApprovalCodeinTransactionSummary,Chrome 68.0.3440.106,,2018-09-12 13:45:12,2018-09-12 13:45:20,7.795s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 13:45:12,2018-09-12 13:45:13,0.601s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-12 13:45:13,2018-09-12 13:45:13,0.217s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 13:45:13,2018-09-12 13:45:14,1.332s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 13:45:14,2018-09-12 13:45:15,0.208s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-12 13:45:15,2018-09-12 13:45:15,0.088s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:45:15,2018-09-12 13:45:15,0.196s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-12 13:45:15,2018-09-12 13:45:18,3.597s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:45:18,2018-09-12 13:45:18,0.010s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:45:18,2018-09-12 13:45:19,0.151s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:45:19,2018-09-12 13:45:19,0.088s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:45:19,2018-09-12 13:45:19,0.013s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:45:19,2018-09-12 13:45:20,0.947s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:45:20,2018-09-12 13:45:20,0.023s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:45:20,2018-09-12 13:45:20,0.027s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:45:20,2018-09-12 13:45:20,0.016s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:45:20,2018-09-12 13:45:20,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:45:20,2018-09-12 13:45:20,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:45:20,2018-09-12 13:45:20,0.011s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:45:20,2018-09-12 13:45:20,0.018s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:45:20,2018-09-12 13:45:20,0.015s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:45:20,2018-09-12 13:45:20,0.013s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-12 13:45:20,2018-09-12 13:45:20,0.081s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyColumnFilter,Chrome 68.0.3440.106,,2018-09-12 13:45:20,2018-09-12 13:45:27,7.331s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 13:45:20,2018-09-12 13:45:21,0.609s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-12 13:45:21,2018-09-12 13:45:21,0.218s,PASSED
