Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transactions,Chrome 68.0.3440.106,,2018-09-18 16:31:46,2018-09-18 16:38:24,6m - 37.247s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/ClickOnTransactionsandValidate,Chrome 68.0.3440.106,,2018-09-18 16:31:47,2018-09-18 16:32:21,34.038s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 16:31:47,2018-09-18 16:31:48,1.526s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 16:31:48,2018-09-18 16:31:49,0.230s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 16:31:49,2018-09-18 16:31:49,0.705s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 16:31:49,2018-09-18 16:32:20,30.928s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 16:32:20,2018-09-18 16:32:21,0.468s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyApprovalCodeinTransactionSummary,Chrome 68.0.3440.106,,2018-09-18 16:32:21,2018-09-18 16:32:54,32.943s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 16:32:21,2018-09-18 16:32:22,0.666s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 16:32:22,2018-09-18 16:32:22,0.217s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 16:32:22,2018-09-18 16:32:22,0.618s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 16:32:22,2018-09-18 16:32:53,30.871s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 16:32:53,2018-09-18 16:32:54,0.458s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyColumnFilter,Chrome 68.0.3440.106,,2018-09-18 16:32:54,2018-09-18 16:33:27,32.917s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 16:32:54,2018-09-18 16:32:55,0.673s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 16:32:55,2018-09-18 16:32:55,0.218s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 16:32:55,2018-09-18 16:32:55,0.641s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 16:32:55,2018-09-18 16:33:26,30.867s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 16:33:26,2018-09-18 16:33:27,0.446s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyColumnFilterReset,Chrome 68.0.3440.106,,2018-09-18 16:33:27,2018-09-18 16:34:00,32.840s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 16:33:27,2018-09-18 16:33:27,0.654s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 16:33:27,2018-09-18 16:33:28,0.215s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 16:33:28,2018-09-18 16:33:28,0.614s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 16:33:28,2018-09-18 16:33:59,30.849s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 16:33:59,2018-09-18 16:34:00,0.445s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyTypeFilter,Chrome 68.0.3440.106,,2018-09-18 16:34:00,2018-09-18 16:34:33,32.999s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 16:34:00,2018-09-18 16:34:00,0.644s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 16:34:00,2018-09-18 16:34:00,0.216s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 16:34:00,2018-09-18 16:34:01,0.753s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 16:34:01,2018-09-18 16:34:32,30.859s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 16:34:32,2018-09-18 16:34:33,0.449s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyAmountFilter,Chrome 68.0.3440.106,,2018-09-18 16:34:33,2018-09-18 16:35:05,32.842s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 16:34:33,2018-09-18 16:34:33,0.637s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 16:34:33,2018-09-18 16:34:33,0.216s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 16:34:33,2018-09-18 16:34:34,0.598s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-18 16:34:34,2018-09-18 16:35:05,30.880s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-18 16:35:05,2018-09-18 16:35:05,0.445s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifySaveView,Chrome 68.0.3440.106,,2018-09-18 16:35:05,2018-09-18 16:35:38,32.959s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-18 16:35:05,2018-09-18 16:35:06,0.652s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-18 16:35:06,2018-09-18 16:35:06,0.214s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-18 16:35:06,2018-09-18 16:35:07,0.639s,PASSED
