Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transactions,Chrome 68.0.3440.106,,2018-09-17 11:10:12,2018-09-17 11:13:47,3m - 35.039s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/ClickOnTransactionsandValidate,Chrome 68.0.3440.106,,2018-09-17 11:10:12,2018-09-17 11:10:27,14.723s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 11:10:12,2018-09-17 11:10:14,1.616s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 11:10:14,2018-09-17 11:10:14,0.258s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 11:10:14,2018-09-17 11:10:20,5.347s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:20,2018-09-17 11:10:20,0.050s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 11:10:20,2018-09-17 11:10:20,0.569s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 11:10:20,2018-09-17 11:10:20,0.099s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 11:10:20,2018-09-17 11:10:21,0.212s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-17 11:10:21,2018-09-17 11:10:25,3.898s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:25,2018-09-17 11:10:25,0.104s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 11:10:25,2018-09-17 11:10:25,0.214s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 11:10:25,2018-09-17 11:10:27,2.009s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:27,2018-09-17 11:10:27,0.036s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-17 11:10:27,2018-09-17 11:10:27,0.105s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyApprovalCodeinTransactionSummary,Chrome 68.0.3440.106,,2018-09-17 11:10:27,2018-09-17 11:10:43,15.922s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 11:10:27,2018-09-17 11:10:28,0.982s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 11:10:28,2018-09-17 11:10:29,0.218s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 11:10:29,2018-09-17 11:10:33,4.392s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:33,2018-09-17 11:10:33,0.017s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 11:10:33,2018-09-17 11:10:33,0.172s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 11:10:33,2018-09-17 11:10:33,0.090s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 11:10:33,2018-09-17 11:10:34,0.205s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-17 11:10:34,2018-09-17 11:10:40,6.102s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:40,2018-09-17 11:10:40,0.013s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 11:10:40,2018-09-17 11:10:40,0.717s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 11:10:40,2018-09-17 11:10:40,0.087s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:40,2018-09-17 11:10:40,0.015s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 11:10:40,2018-09-17 11:10:42,1.908s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:42,2018-09-17 11:10:42,0.026s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:42,2018-09-17 11:10:42,0.015s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:42,2018-09-17 11:10:42,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:42,2018-09-17 11:10:42,0.015s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:42,2018-09-17 11:10:42,0.016s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:42,2018-09-17 11:10:42,0.010s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:42,2018-09-17 11:10:43,0.021s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:43,2018-09-17 11:10:43,0.159s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 11:10:43,2018-09-17 11:10:43,0.190s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-17 11:10:43,2018-09-17 11:10:43,0.085s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyColumnFilter,Chrome 68.0.3440.106,,2018-09-17 11:10:43,2018-09-17 11:10:55,11.710s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 11:10:43,2018-09-17 11:10:44,1.006s,PASSED
