Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transactions,Chrome 68.0.3440.106,,2018-09-17 14:00:27,2018-09-17 14:04:17,3m - 49.581s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/ClickOnTransactionsandValidate,Chrome 68.0.3440.106,,2018-09-17 14:00:28,2018-09-17 14:00:39,11.270s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 14:00:28,2018-09-17 14:00:30,2.284s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 14:00:30,2018-09-17 14:00:31,0.320s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 14:00:31,2018-09-17 14:00:34,3.968s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:34,2018-09-17 14:00:35,0.049s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 14:00:35,2018-09-17 14:00:35,0.268s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 14:00:35,2018-09-17 14:00:35,0.123s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:00:35,2018-09-17 14:00:35,0.235s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-17 14:00:35,2018-09-17 14:00:39,3.352s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:39,2018-09-17 14:00:39,0.013s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:00:39,2018-09-17 14:00:39,0.180s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:00:39,2018-09-17 14:00:39,0.103s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:39,2018-09-17 14:00:39,0.017s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-17 14:00:39,2018-09-17 14:00:39,0.092s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyApprovalCodeinTransactionSummary,Chrome 68.0.3440.106,,2018-09-17 14:00:39,2018-09-17 14:00:49,10.098s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 14:00:39,2018-09-17 14:00:40,0.754s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 14:00:40,2018-09-17 14:00:40,0.222s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 14:00:40,2018-09-17 14:00:42,2.344s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:42,2018-09-17 14:00:42,0.018s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 14:00:42,2018-09-17 14:00:43,0.251s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 14:00:43,2018-09-17 14:00:43,0.106s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:00:43,2018-09-17 14:00:43,0.211s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-17 14:00:43,2018-09-17 14:00:46,3.407s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:46,2018-09-17 14:00:46,0.011s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:00:46,2018-09-17 14:00:47,0.198s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:00:47,2018-09-17 14:00:47,0.139s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:47,2018-09-17 14:00:47,0.386s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:00:47,2018-09-17 14:00:49,1.664s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:49,2018-09-17 14:00:49,0.027s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:49,2018-09-17 14:00:49,0.019s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:49,2018-09-17 14:00:49,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:49,2018-09-17 14:00:49,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:49,2018-09-17 14:00:49,0.022s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:49,2018-09-17 14:00:49,0.011s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:49,2018-09-17 14:00:49,0.016s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:49,2018-09-17 14:00:49,0.015s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:49,2018-09-17 14:00:49,0.015s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-17 14:00:49,2018-09-17 14:00:49,0.090s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyColumnFilter,Chrome 68.0.3440.106,,2018-09-17 14:00:49,2018-09-17 14:01:02,13.334s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 14:00:49,2018-09-17 14:00:50,1.373s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 14:00:50,2018-09-17 14:00:51,0.466s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 14:00:51,2018-09-17 14:00:55,3.813s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:55,2018-09-17 14:00:55,0.069s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 14:00:55,2018-09-17 14:00:55,0.248s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 14:00:55,2018-09-17 14:00:55,0.104s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:00:55,2018-09-17 14:00:55,0.214s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:00:55,2018-09-17 14:01:01,5.446s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-17 14:01:01,2018-09-17 14:01:01,0.131s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-17 14:01:01,2018-09-17 14:01:01,0.033s,PASSED
