Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transactions,Chrome 68.0.3440.106,,2018-09-14 10:18:01,2018-09-14 10:21:31,3m - 29.559s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/ClickOnTransactionsandValidate,Chrome 68.0.3440.106,,2018-09-14 10:18:01,2018-09-14 10:18:26,24.991s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-14 10:18:02,2018-09-14 10:18:04,1.922s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-14 10:18:04,2018-09-14 10:18:04,0.230s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-14 10:18:04,2018-09-14 10:18:09,5.094s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-14 10:18:09,2018-09-14 10:18:09,0.216s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-14 10:18:09,2018-09-14 10:18:09,0.135s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 10:18:09,2018-09-14 10:18:09,0.204s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-14 10:18:09,2018-09-14 10:18:26,16.583s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-14 10:18:26,2018-09-14 10:18:26,0.024s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 10:18:26,2018-09-14 10:18:26,0.179s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 10:18:26,2018-09-14 10:18:26,0.087s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-14 10:18:26,2018-09-14 10:18:26,0.019s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-14 10:18:26,2018-09-14 10:18:26,0.087s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyApprovalCodeinTransactionSummary,Chrome 68.0.3440.106,,2018-09-14 10:18:26,2018-09-14 10:18:45,18.438s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-14 10:18:27,2018-09-14 10:18:27,0.645s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-14 10:18:27,2018-09-14 10:18:27,0.217s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-14 10:18:27,2018-09-14 10:18:29,1.521s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-14 10:18:29,2018-09-14 10:18:29,0.185s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-14 10:18:29,2018-09-14 10:18:29,0.083s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 10:18:29,2018-09-14 10:18:29,0.193s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-14 10:18:29,2018-09-14 10:18:33,3.333s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-14 10:18:33,2018-09-14 10:18:33,0.011s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 10:18:33,2018-09-14 10:18:33,0.177s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 10:18:33,2018-09-14 10:18:33,0.088s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-14 10:18:33,2018-09-14 10:18:33,0.017s,PASSED
click,Chrome 68.0.3440.106,,2018-09-14 10:18:33,2018-09-14 10:18:45,11.611s,PASSED
