Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transactions,Chrome 68.0.3440.106,,2018-09-12 13:33:16,2018-09-12 13:35:07,1m - 50.924s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/ClickOnTransactionsandValidate,Chrome 68.0.3440.106,,2018-09-12 13:33:16,2018-09-12 13:33:26,9.997s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 13:33:16,2018-09-12 13:33:18,1.538s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-12 13:33:18,2018-09-12 13:33:18,0.233s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 13:33:18,2018-09-12 13:33:19,1.569s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 13:33:19,2018-09-12 13:33:20,0.287s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-12 13:33:20,2018-09-12 13:33:20,0.130s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:33:20,2018-09-12 13:33:20,0.204s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-12 13:33:20,2018-09-12 13:33:26,5.485s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:33:26,2018-09-12 13:33:26,0.023s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:33:26,2018-09-12 13:33:26,0.150s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:33:26,2018-09-12 13:33:26,0.087s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:33:26,2018-09-12 13:33:26,0.022s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-12 13:33:26,2018-09-12 13:33:26,0.090s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyApprovalCodeinTransactionSummary,Chrome 68.0.3440.106,,2018-09-12 13:33:26,2018-09-12 13:33:57,31.200s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 13:33:26,2018-09-12 13:33:27,0.649s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-12 13:33:27,2018-09-12 13:33:27,0.220s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 13:33:27,2018-09-12 13:33:29,2.351s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 13:33:29,2018-09-12 13:33:29,0.201s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-12 13:33:29,2018-09-12 13:33:30,0.083s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:33:30,2018-09-12 13:33:30,0.182s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-12 13:33:30,2018-09-12 13:33:34,3.789s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:33:34,2018-09-12 13:33:34,0.011s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:33:34,2018-09-12 13:33:34,0.133s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:33:34,2018-09-12 13:33:34,0.075s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:33:34,2018-09-12 13:33:34,0.010s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:33:34,2018-09-12 13:33:36,1.830s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:33:36,2018-09-12 13:33:36,0.027s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:33:36,2018-09-12 13:33:36,0.015s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:33:36,2018-09-12 13:33:36,0.016s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:33:36,2018-09-12 13:33:36,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:33:36,2018-09-12 13:33:57,21.485s,FAILED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyColumnFilter,Chrome 68.0.3440.106,,2018-09-12 13:33:57,2018-09-12 13:34:06,8.444s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 13:33:57,2018-09-12 13:33:58,0.745s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-12 13:33:58,2018-09-12 13:33:58,0.222s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 13:33:58,2018-09-12 13:34:00,1.388s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 13:34:00,2018-09-12 13:34:00,0.217s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-12 13:34:00,2018-09-12 13:34:00,0.096s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:34:00,2018-09-12 13:34:00,0.206s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:34:00,2018-09-12 13:34:04,3.640s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-12 13:34:04,2018-09-12 13:34:04,0.099s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:34:04,2018-09-12 13:34:04,0.010s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:34:04,2018-09-12 13:34:04,0.257s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:34:04,2018-09-12 13:34:04,0.081s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:34:04,2018-09-12 13:34:04,0.009s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:34:04,2018-09-12 13:34:04,0.077s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:34:04,2018-09-12 13:34:04,0.095s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:34:04,2018-09-12 13:34:05,0.322s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:34:05,2018-09-12 13:34:05,0.094s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:34:05,2018-09-12 13:34:05,0.020s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:34:05,2018-09-12 13:34:05,0.057s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:34:05,2018-09-12 13:34:05,0.011s,PASSED
