Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transactions,Chrome 68.0.3440.106,,2018-09-07 13:49:37,2018-09-07 13:50:01,24.920s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/ClickOnTransactionsandValidate,Chrome 68.0.3440.106,,2018-09-07 13:49:37,2018-09-07 13:49:46,9.658s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-07 13:49:37,2018-09-07 13:49:38,1.340s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-07 13:49:38,2018-09-07 13:49:40,1.416s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-07 13:49:40,2018-09-07 13:49:40,0.252s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-07 13:49:40,2018-09-07 13:49:40,0.128s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:49:40,2018-09-07 13:49:40,0.215s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-07 13:49:40,2018-09-07 13:49:46,5.795s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:49:46,2018-09-07 13:49:46,0.017s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:49:46,2018-09-07 13:49:46,0.143s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:49:46,2018-09-07 13:49:46,0.086s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:49:46,2018-09-07 13:49:46,0.022s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-07 13:49:46,2018-09-07 13:49:46,0.090s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyApprovalCodeinTransactionSummary,Chrome 68.0.3440.106,,2018-09-07 13:49:46,2018-09-07 13:49:53,6.500s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-07 13:49:47,2018-09-07 13:49:47,0.587s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-07 13:49:47,2018-09-07 13:49:48,1.318s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-07 13:49:48,2018-09-07 13:49:49,0.205s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-07 13:49:49,2018-09-07 13:49:49,0.084s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:49:49,2018-09-07 13:49:49,0.194s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-07 13:49:49,2018-09-07 13:49:52,2.779s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:49:52,2018-09-07 13:49:52,0.011s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:49:52,2018-09-07 13:49:52,0.136s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:49:52,2018-09-07 13:49:52,0.105s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:49:52,2018-09-07 13:49:52,0.014s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:49:52,2018-09-07 13:49:53,0.752s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:49:53,2018-09-07 13:49:53,0.020s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:49:53,2018-09-07 13:49:53,0.017s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:49:53,2018-09-07 13:49:53,0.016s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:49:53,2018-09-07 13:49:53,0.013s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:49:53,2018-09-07 13:49:53,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:49:53,2018-09-07 13:49:53,0.010s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:49:53,2018-09-07 13:49:53,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:49:53,2018-09-07 13:49:53,0.012s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:49:53,2018-09-07 13:49:53,0.013s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-07 13:49:53,2018-09-07 13:49:53,0.081s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyColumnFilter,Chrome 68.0.3440.106,,2018-09-07 13:49:53,2018-09-07 13:50:01,8.529s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-07 13:49:53,2018-09-07 13:49:54,0.583s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-07 13:49:54,2018-09-07 13:49:54,0.228s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-07 13:49:54,2018-09-07 13:49:56,2.308s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-07 13:49:56,2018-09-07 13:49:56,0.212s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-07 13:49:56,2018-09-07 13:49:56,0.093s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:49:56,2018-09-07 13:49:57,0.205s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-07 13:49:57,2018-09-07 13:50:00,3.235s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:50:00,2018-09-07 13:50:00,0.012s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:50:00,2018-09-07 13:50:00,0.322s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:50:00,2018-09-07 13:50:00,0.099s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:50:00,2018-09-07 13:50:00,0.014s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:50:00,2018-09-07 13:50:00,0.110s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:50:00,2018-09-07 13:50:01,0.082s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:50:01,2018-09-07 13:50:01,0.445s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:50:01,2018-09-07 13:50:01,0.119s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:50:01,2018-09-07 13:50:01,0.022s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:50:01,2018-09-07 13:50:01,0.070s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:50:01,2018-09-07 13:50:01,0.013s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:50:01,2018-09-07 13:50:01,0.074s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 13:50:01,2018-09-07 13:50:01,0.102s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:50:01,2018-09-07 13:50:01,0.015s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-07 13:50:01,2018-09-07 13:50:01,0.014s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-07 13:50:01,2018-09-07 13:50:01,0.079s,PASSED
