Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Transactions,Chrome 68.0.3440.106,,2018-09-12 13:49:58,2018-09-12 13:51:13,1m - 14.860s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/ClickOnTransactionsandValidate,Chrome 68.0.3440.106,,2018-09-12 13:49:58,2018-09-12 13:50:07,8.740s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 13:49:58,2018-09-12 13:50:00,1.443s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-12 13:50:00,2018-09-12 13:50:00,0.233s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 13:50:00,2018-09-12 13:50:02,1.881s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 13:50:02,2018-09-12 13:50:02,0.237s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-12 13:50:02,2018-09-12 13:50:02,0.125s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:50:02,2018-09-12 13:50:03,0.190s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-12 13:50:03,2018-09-12 13:50:07,4.078s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:50:07,2018-09-12 13:50:07,0.024s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:50:07,2018-09-12 13:50:07,0.143s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:50:07,2018-09-12 13:50:07,0.090s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:50:07,2018-09-12 13:50:07,0.046s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-12 13:50:07,2018-09-12 13:50:07,0.097s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyApprovalCodeinTransactionSummary,Chrome 68.0.3440.106,,2018-09-12 13:50:07,2018-09-12 13:50:17,9.661s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 13:50:07,2018-09-12 13:50:08,0.619s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-12 13:50:08,2018-09-12 13:50:08,0.217s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 13:50:08,2018-09-12 13:50:11,3.144s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 13:50:11,2018-09-12 13:50:11,0.171s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-12 13:50:11,2018-09-12 13:50:11,0.081s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:50:11,2018-09-12 13:50:12,0.193s,PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-09-12 13:50:12,2018-09-12 13:50:15,3.499s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:50:15,2018-09-12 13:50:15,0.010s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:50:15,2018-09-12 13:50:15,0.152s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:50:15,2018-09-12 13:50:15,0.086s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:50:15,2018-09-12 13:50:15,0.011s,PASSED
click,Chrome 68.0.3440.106,,2018-09-12 13:50:15,2018-09-12 13:50:16,1.149s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:50:16,2018-09-12 13:50:16,0.016s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:50:16,2018-09-12 13:50:16,0.021s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:50:16,2018-09-12 13:50:16,0.015s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:50:16,2018-09-12 13:50:17,0.013s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:50:17,2018-09-12 13:50:17,0.013s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:50:17,2018-09-12 13:50:17,0.010s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:50:17,2018-09-12 13:50:17,0.013s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:50:17,2018-09-12 13:50:17,0.014s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-09-12 13:50:17,2018-09-12 13:50:17,0.015s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-12 13:50:17,2018-09-12 13:50:17,0.086s,PASSED
,,,,,,
Test Cases/Maven/Individual Test Cases/Transactions/VerifyColumnFilter,Chrome 68.0.3440.106,,2018-09-12 13:50:17,2018-09-12 13:50:26,9.308s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-12 13:50:17,2018-09-12 13:50:17,0.588s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-12 13:50:17,2018-09-12 13:50:18,0.217s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-12 13:50:18,2018-09-12 13:50:19,1.211s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-12 13:50:19,2018-09-12 13:50:19,0.191s,PASSED
